lat,lng
28.4,76.85
28.4,76.86
28.4,76.86999999999999
28.4,76.88
28.4,76.89
28.4,76.89999999999999
28.4,76.91
28.4,76.92
28.4,76.92999999999999
28.4,76.94
28.4,76.95
28.4,76.96
28.4,76.97
28.4,76.98
28.4,76.99
28.4,77.0
28.4,77.00999999999999
28.4,77.02
28.4,77.03
28.4,77.03999999999999
28.4,77.05
28.4,77.06
28.4,77.07
28.4,77.08
28.4,77.09
28.4,77.1
28.4,77.11
28.4,77.12
28.4,77.13
28.4,77.14
28.4,77.15
28.4,77.16
28.4,77.17
28.4,77.18
28.4,77.19
28.4,77.2
28.4,77.21000000000001
28.4,77.22
28.4,77.23
28.4,77.24000000000001
28.4,77.25
28.4,77.26
28.4,77.27
28.4,77.28
28.4,77.29
28.4,77.3
28.4,77.31
28.4,77.32000000000001
28.4,77.33
28.4,77.34
28.4,77.35000000000001
28.4,77.36
28.4,77.37
28.4,77.38000000000001
28.4,77.39
28.4,77.4
28.41,76.85
28.41,76.86
28.41,76.86999999999999
28.41,76.88
28.41,76.89
28.41,76.89999999999999
28.41,76.91
28.41,76.92
28.41,76.92999999999999
28.41,76.94
28.41,76.95
28.41,76.96
28.41,76.97
28.41,76.98
28.41,76.99
28.41,77.0
28.41,77.00999999999999
28.41,77.02
28.41,77.03
28.41,77.03999999999999
28.41,77.05
28.41,77.06
28.41,77.07
28.41,77.08
28.41,77.09
28.41,77.1
28.41,77.11
28.41,77.12
28.41,77.13
28.41,77.14
28.41,77.15
28.41,77.16
28.41,77.17
28.41,77.18
28.41,77.19
28.41,77.2
28.41,77.21000000000001
28.41,77.22
28.41,77.23
28.41,77.24000000000001
28.41,77.25
28.41,77.26
28.41,77.27
28.41,77.28
28.41,77.29
28.41,77.3
28.41,77.31
28.41,77.32000000000001
28.41,77.33
28.41,77.34
28.41,77.35000000000001
28.41,77.36
28.41,77.37
28.41,77.38000000000001
28.41,77.39
28.41,77.4
28.419999999999998,76.85
28.419999999999998,76.86
28.419999999999998,76.86999999999999
28.419999999999998,76.88
28.419999999999998,76.89
28.419999999999998,76.89999999999999
28.419999999999998,76.91
28.419999999999998,76.92
28.419999999999998,76.92999999999999
28.419999999999998,76.94
28.419999999999998,76.95
28.419999999999998,76.96
28.419999999999998,76.97
28.419999999999998,76.98
28.419999999999998,76.99
28.419999999999998,77.0
28.419999999999998,77.00999999999999
28.419999999999998,77.02
28.419999999999998,77.03
28.419999999999998,77.03999999999999
28.419999999999998,77.05
28.419999999999998,77.06
28.419999999999998,77.07
28.419999999999998,77.08
28.419999999999998,77.09
28.419999999999998,77.1
28.419999999999998,77.11
28.419999999999998,77.12
28.419999999999998,77.13
28.419999999999998,77.14
28.419999999999998,77.15
28.419999999999998,77.16
28.419999999999998,77.17
28.419999999999998,77.18
28.419999999999998,77.19
28.419999999999998,77.2
28.419999999999998,77.21000000000001
28.419999999999998,77.22
28.419999999999998,77.23
28.419999999999998,77.24000000000001
28.419999999999998,77.25
28.419999999999998,77.26
28.419999999999998,77.27
28.419999999999998,77.28
28.419999999999998,77.29
28.419999999999998,77.3
28.419999999999998,77.31
28.419999999999998,77.32000000000001
28.419999999999998,77.33
28.419999999999998,77.34
28.419999999999998,77.35000000000001
28.419999999999998,77.36
28.419999999999998,77.37
28.419999999999998,77.38000000000001
28.419999999999998,77.39
28.419999999999998,77.4
28.43,76.85
28.43,76.86
28.43,76.86999999999999
28.43,76.88
28.43,76.89
28.43,76.89999999999999
28.43,76.91
28.43,76.92
28.43,76.92999999999999
28.43,76.94
28.43,76.95
28.43,76.96
28.43,76.97
28.43,76.98
28.43,76.99
28.43,77.0
28.43,77.00999999999999
28.43,77.02
28.43,77.03
28.43,77.03999999999999
28.43,77.05
28.43,77.06
28.43,77.07
28.43,77.08
28.43,77.09
28.43,77.1
28.43,77.11
28.43,77.12
28.43,77.13
28.43,77.14
28.43,77.15
28.43,77.16
28.43,77.17
28.43,77.18
28.43,77.19
28.43,77.2
28.43,77.21000000000001
28.43,77.22
28.43,77.23
28.43,77.24000000000001
28.43,77.25
28.43,77.26
28.43,77.27
28.43,77.28
28.43,77.29
28.43,77.3
28.43,77.31
28.43,77.32000000000001
28.43,77.33
28.43,77.34
28.43,77.35000000000001
28.43,77.36
28.43,77.37
28.43,77.38000000000001
28.43,77.39
28.43,77.4
28.439999999999998,76.85
28.439999999999998,76.86
28.439999999999998,76.86999999999999
28.439999999999998,76.88
28.439999999999998,76.89
28.439999999999998,76.89999999999999
28.439999999999998,76.91
28.439999999999998,76.92
28.439999999999998,76.92999999999999
28.439999999999998,76.94
28.439999999999998,76.95
28.439999999999998,76.96
28.439999999999998,76.97
28.439999999999998,76.98
28.439999999999998,76.99
28.439999999999998,77.0
28.439999999999998,77.00999999999999
28.439999999999998,77.02
28.439999999999998,77.03
28.439999999999998,77.03999999999999
28.439999999999998,77.05
28.439999999999998,77.06
28.439999999999998,77.07
28.439999999999998,77.08
28.439999999999998,77.09
28.439999999999998,77.1
28.439999999999998,77.11
28.439999999999998,77.12
28.439999999999998,77.13
28.439999999999998,77.14
28.439999999999998,77.15
28.439999999999998,77.16
28.439999999999998,77.17
28.439999999999998,77.18
28.439999999999998,77.19
28.439999999999998,77.2
